rank,symbol,yahoo_symbol,name,sector,market_cap,weight_percent
1,NVDA,NVDA,Nvidia,Information Technology,4845168677383.423,6.7887
2,AAPL,AAPL,Apple Inc.,Information Technology,4322488691510.9863,6.0564
3,GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,4223676696723.6465,5.9179
4,GOOG,GOOG,Alphabet Inc. (Class C),Communication Services,4223066344631.409,5.9171
5,MSFT,MSFT,Microsoft,Information Technology,2777788891349.587,3.892
6,AMZN,AMZN,Amazon,Consumer Discretionary,2518346896627.5786,3.5285
7,AVGO,AVGO,Broadcom,Information Technology,1808594083231.7349,2.5341
8,TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary,1433221731396.8237,2.0081
9,META,META,Meta Platforms,Communication Services,1427101612495.4126,1.9996
10,MU,MU,Micron Technology,Information Technology,1186116864846.3257,1.6619
11,BRK.B,BRK-B,Berkshire Hathaway,Financials,1062919114433.8137,1.4893
12,LLY,LLY,Lilly (Eli),Health Care,987229036566.6252,1.3832
13,WMT,WMT,Walmart,Consumer Staples,950353798118.4219,1.3316
14,JPM,JPM,JPMorgan Chase,Financials,895331984461.1755,1.2545
15,AMD,AMD,Advanced Micro Devices,Information Technology,847667702374.5641,1.1877
16,INTC,INTC,Intel,Information Technology,664839273864.7461,0.9315
17,V,V,Visa Inc.,Financials,624684824317.1814,0.8753
18,XOM,XOM,ExxonMobil,Energy,579173449237.1351,0.8115
19,JNJ,JNJ,Johnson & Johnson,Health Care,575517437834.4259,0.8064
20,CSCO,CSCO,Cisco,Information Technology,477504815678.90204,0.669
21,ORCL,ORCL,Oracle Corporation,Information Technology,475738600908.59985,0.6666
22,AMAT,AMAT,Applied Materials,Information Technology,465164954725.155,0.6518
23,LRCX,LRCX,Lam Research,Information Technology,464362630078.0945,0.6506
24,CAT,CAT,Caterpillar Inc.,Industrials,453333048849.9514,0.6352
25,MA,MA,Mastercard,Financials,431250778581.41144,0.6042
26,COST,COST,Costco,Consumer Staples,424710777766.5842,0.5951
27,ABBV,ABBV,AbbVie,Health Care,414772272952.6772,0.5811
28,BAC,BAC,Bank of America,Financials,410963563516.5562,0.5758
29,GE,GE,GE Aerospace,Industrials,372450409856.8368,0.5219
30,UNH,UNH,UnitedHealth Group,Health Care,371658097337.0,0.5207
31,MS,MS,Morgan Stanley,Financials,356513685261.1135,0.4995
32,PG,PG,Procter & Gamble,Consumer Staples,351292443242.344,0.4922
33,CVX,CVX,Chevron Corporation,Energy,350481360368.3365,0.4911
34,KO,KO,Coca-Cola Company (The),Consumer Staples,345532352485.47253,0.4841
35,HD,HD,Home Depot (The),Consumer Discretionary,323514519646.7345,0.4533
36,GS,GS,Goldman Sachs,Financials,322867904553.6489,0.4524
37,KLAC,KLAC,KLA Corporation,Information Technology,319371233268.484,0.4475
38,NFLX,NFLX,Netflix,Communication Services,306630347523.9263,0.4296
39,MRK,MRK,Merck & Co.,Health Care,295390996265.34705,0.4139
40,SNDK,SNDK,Sandisk,Information Technology,290789045193.3274,0.4074
41,PLTR,PLTR,Palantir Technologies,Information Technology,279766300399.88446,0.392
42,PM,PM,Philip Morris International,Consumer Staples,278498883996.8153,0.3902
43,GEV,GEV,GE Vernova,Industrials,278119815176.6626,0.3897
44,TXN,TXN,Texas Instruments,Information Technology,276995828537.32263,0.3881
45,DELL,DELL,Dell Technologies,Information Technology,276406807061.0919,0.3873
46,WFC,WFC,Wells Fargo,Financials,257453733725.1585,0.3607
47,RTX,RTX,RTX Corporation,Industrials,251008323322.96967,0.3517
48,IBM,IBM,IBM,Information Technology,249013208377.8418,0.3489
49,C,C,Citigroup,Financials,247257493248.35312,0.3464
50,MRVL,MRVL,Marvell Technology,Information Technology,244314364875.45346,0.3423
51,PANW,PANW,Palo Alto Networks,Information Technology,237095731964.11133,0.3322
52,LIN,LIN,Linde plc,Materials,236842037535.71045,0.3318
53,STX,STX,Seagate Technology,Information Technology,232881981137.20312,0.3263
